theta_e,psf_fwhm,depth_5sig,threshold,threshold_type,fpr_target,source_mag_bin,n_injections,n_detected,n_failed,completeness,ci68_lo,ci68_hi,ci95_lo,ci95_hi,mean_score,mean_arc_snr,sufficient
0.5,0.9,24.5,0.7,fixed,,lensed_22-24,332,0,0,0.0,6.13389241454882e-05,0.00296658443955984,1.4779053624846158e-06,0.007531886962189082,0.01924721290188562,1.688470503292888,True
0.5,0.9,24.5,0.7,fixed,,lensed_24-27,56,0,0,0.0,0.00036225053937779394,0.017395312737067004,8.729378921674678e-06,0.04367320309540489,0.028469700655940042,0.5169922182602542,True
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,0.01768994582733745,2.3869084015488626,True
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,23-24,157,0,0,0.0,0.00012959708553992964,0.006257673995410315,3.1226274796481016e-06,0.015847236893062586,0.009865204346397155,4.806556804924254,True
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,24-25,162,0,0,0.0,0.00012560359926985177,0.006065420305510952,3.0263989674560753e-06,0.0153626523172214,0.017714187278061098,1.866025474704342,True
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,25-26,181,0,0,0.0,0.00011243764426130225,0.005431329053964062,2.709149937646803e-06,0.01376336783436771,0.024455455758223613,0.7543019640840878,True
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,lensed_18-20,0,0,0,,,,,,,,False
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,lensed_20-22,112,0,0,0.0,0.00018154643361692938,0.008755291215473127,4.374452261614585e-06,0.02212943443348546,0.007683883870625505,5.392235977309091,True
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,lensed_22-24,332,0,0,0.0,6.13389241454882e-05,0.00296658443955984,1.4779053624846158e-06,0.007531886962189082,0.01924721290188562,1.688470503292888,True
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,lensed_24-27,56,0,0,0.0,0.00036225053937779394,0.017395312737067004,8.729378921674678e-06,0.04367320309540489,0.028469700655940042,0.5169922182602542,True
0.5,0.9,24.5,0.9950980914444324,FPR=1.0e-04,0.0001,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,0.01768994582733745,2.3869084015488626,True
0.5,0.9,24.5,0.9950980914444324,FPR=1.0e-04,0.0001,23-24,157,0,0,0.0,0.00012959708553992964,0.006257673995410315,3.1226274796481016e-06,0.015847236893062586,0.009865204346397155,4.806556804924254,True
0.5,0.9,24.5,0.9950980914444324,FPR=1.0e-04,0.0001,24-25,162,0,0,0.0,0.00012560359926985177,0.006065420305510952,3.0263989674560753e-06,0.0153626523172214,0.017714187278061098,1.866025474704342,True
0.5,0.9,24.5,0.9950980914444324,FPR=1.0e-04,0.0001,25-26,181,0,0,0.0,0.00011243764426130225,0.005431329053964062,2.709149937646803e-06,0.01376336783436771,0.024455455758223613,0.7543019640840878,True
0.5,0.9,24.5,0.9950980914444324,FPR=1.0e-04,0.0001,lensed_18-20,0,0,0,,,,,,,,False
