theta_e,psf_fwhm,depth_5sig,threshold,threshold_type,fpr_target,source_mag_bin,n_injections,n_detected,n_failed,completeness,ci68_lo,ci68_hi,ci95_lo,ci95_hi,mean_score,mean_arc_snr,sufficient
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,lensed_18-20,0,0,0,,,,,,,,False
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,lensed_20-22,114,0,0,0.0,0.0001783686768954126,0.008602688109169122,4.297875951370511e-06,0.021746296474035143,0.01686548798072179,5.266969753984819,True
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,lensed_22-24,329,0,0,0.0,6.18978033259205e-05,0.002993574297034128,1.4913714527983633e-06,0.007600253074816362,0.024696782147295378,1.6925790281371866,True
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,lensed_24-27,57,0,0,0.0,0.00035592426858552657,0.017094086150050952,8.576904275256304e-06,0.042927005803756225,0.02245726502894342,0.49515969528440845,True
0.5,0.9,24.5,0.9950980914444324,FPR=1.0e-04,0.0001,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,0.022655942125824478,2.37103430968523,True
0.5,0.9,24.5,0.9950980914444324,FPR=1.0e-04,0.0001,23-24,157,0,0,0.0,0.00012959708553992964,0.006257673995410315,3.1226274796481016e-06,0.015847236893062586,0.016485288222486388,4.726502208193397,True
0.5,0.9,24.5,0.9950980914444324,FPR=1.0e-04,0.0001,24-25,162,0,0,0.0,0.00012560359926985177,0.006065420305510952,3.0263989674560753e-06,0.0153626523172214,0.024087303882111392,1.8872901208606767,True
0.5,0.9,24.5,0.9950980914444324,FPR=1.0e-04,0.0001,25-26,181,0,0,0.0,0.00011243764426130225,0.005431329053964062,2.709149937646803e-06,0.01376336783436771,0.02672727946452945,0.7608580584354823,True
0.5,0.9,24.5,0.9950980914444324,FPR=1.0e-04,0.0001,lensed_18-20,0,0,0,,,,,,,,False
0.5,0.9,24.5,0.9950980914444324,FPR=1.0e-04,0.0001,lensed_20-22,114,0,0,0.0,0.0001783686768954126,0.008602688109169122,4.297875951370511e-06,0.021746296474035143,0.01686548798072179,5.266969753984819,True
0.5,0.9,24.5,0.9950980914444324,FPR=1.0e-04,0.0001,lensed_22-24,329,0,0,0.0,6.18978033259205e-05,0.002993574297034128,1.4913714527983633e-06,0.007600253074816362,0.024696782147295378,1.6925790281371866,True
0.5,0.9,24.5,0.9950980914444324,FPR=1.0e-04,0.0001,lensed_24-27,57,0,0,0.0,0.00035592426858552657,0.017094086150050952,8.576904275256304e-06,0.042927005803756225,0.02245726502894342,0.49515969528440845,True
0.5,1.05,22.5,0.3,fixed,,all,0,0,0,,,,,,,,False
0.5,1.05,22.5,0.5,fixed,,all,0,0,0,,,,,,,,False
0.5,1.05,22.5,0.7,fixed,,all,0,0,0,,,,,,,,False
0.5,1.05,22.5,0.8058655117092153,FPR=1.0e-03,0.001,all,0,0,0,,,,,,,,False
0.5,1.05,22.5,0.9950980914444324,FPR=1.0e-04,0.0001,all,0,0,0,,,,,,,,False
0.5,1.05,23.0,0.3,fixed,,all,0,0,0,,,,,,,,False
0.5,1.05,23.0,0.5,fixed,,all,0,0,0,,,,,,,,False
0.5,1.05,23.0,0.7,fixed,,all,0,0,0,,,,,,,,False
0.5,1.05,23.0,0.8058655117092153,FPR=1.0e-03,0.001,all,0,0,0,,,,,,,,False
0.5,1.05,23.0,0.9950980914444324,FPR=1.0e-04,0.0001,all,0,0,0,,,,,,,,False
0.5,1.05,23.5,0.3,fixed,,all,0,0,0,,,,,,,,False
0.5,1.05,23.5,0.5,fixed,,all,0,0,0,,,,,,,,False
0.5,1.05,23.5,0.7,fixed,,all,0,0,0,,,,,,,,False
0.5,1.05,23.5,0.8058655117092153,FPR=1.0e-03,0.001,all,0,0,0,,,,,,,,False
0.5,1.05,23.5,0.9950980914444324,FPR=1.0e-04,0.0001,all,0,0,0,,,,,,,,False
0.5,1.05,24.0,0.3,fixed,,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,0.00028295852176975477,1.8701366207152605,True
0.5,1.05,24.0,0.3,fixed,,23-24,163,0,0,0.0,0.00012483425495337177,0.006028378483565797,3.007860607306352e-06,0.015269269991111424,0.0007538424645463711,3.656968404910316,True
0.5,1.05,24.0,0.3,fixed,,24-25,160,0,0,0.0,0.00012717109136902327,0.006140886571003133,3.0641697881514524e-06,0.015552885909164491,6.0314127163741545e-05,1.4813263777643442,True
0.5,1.05,24.0,0.3,fixed,,25-26,177,0,0,0.0,0.00011497487317111536,0.005553556463885001,2.7702871078237005e-06,0.01407176853532243,5.058010631423861e-05,0.5761030503669701,True
0.5,1.05,24.0,0.3,fixed,,lensed_18-20,0,0,0,,,,,,,,False
0.5,1.05,24.0,0.3,fixed,,lensed_20-22,122,0,0,0.0,0.0001666973131789048,0.008042004995736962,4.016626137950732e-06,0.020337815909793343,0.000997508980383132,4.038893701600247,True
0.5,1.05,24.0,0.3,fixed,,lensed_22-24,324,0,0,0.0,6.285224929456127e-05,0.003039665539271758,1.5143686685801074e-06,0.00771699695163325,5.4990306957671006e-05,1.3047386684719426,True
0.5,1.05,24.0,0.3,fixed,,lensed_24-27,54,0,0,0.0,0.0003756026073342951,0.018030776585862295,9.05119117203745e-06,0.045246210378820526,3.641307081203411e-05,0.3627398181016798,True
0.5,1.05,24.0,0.5,fixed,,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,0.00028295852176975477,1.8701366207152605,True
0.5,1.05,24.0,0.5,fixed,,23-24,163,0,0,0.0,0.00012483425495337177,0.006028378483565797,3.007860607306352e-06,0.015269269991111424,0.0007538424645463711,3.656968404910316,True
0.5,1.05,24.0,0.5,fixed,,24-25,160,0,0,0.0,0.00012717109136902327,0.006140886571003133,3.0641697881514524e-06,0.015552885909164491,6.0314127163741545e-05,1.4813263777643442,True
0.5,1.05,24.0,0.5,fixed,,25-26,177,0,0,0.0,0.00011497487317111536,0.005553556463885001,2.7702871078237005e-06,0.01407176853532243,5.058010631423861e-05,0.5761030503669701,True
0.5,1.05,24.0,0.5,fixed,,lensed_18-20,0,0,0,,,,,,,,False
0.5,1.05,24.0,0.5,fixed,,lensed_20-22,122,0,0,0.0,0.0001666973131789048,0.008042004995736962,4.016626137950732e-06,0.020337815909793343,0.000997508980383132,4.038893701600247,True
0.5,1.05,24.0,0.5,fixed,,lensed_22-24,324,0,0,0.0,6.285224929456127e-05,0.003039665539271758,1.5143686685801074e-06,0.00771699695163325,5.4990306957671006e-05,1.3047386684719426,True
0.5,1.05,24.0,0.5,fixed,,lensed_24-27,54,0,0,0.0,0.0003756026073342951,0.018030776585862295,9.05119117203745e-06,0.045246210378820526,3.641307081203411e-05,0.3627398181016798,True
0.5,1.05,24.0,0.7,fixed,,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,0.00028295852176975477,1.8701366207152605,True
0.5,1.05,24.0,0.7,fixed,,23-24,163,0,0,0.0,0.00012483425495337177,0.006028378483565797,3.007860607306352e-06,0.015269269991111424,0.0007538424645463711,3.656968404910316,True
0.5,1.05,24.0,0.7,fixed,,24-25,160,0,0,0.0,0.00012717109136902327,0.006140886571003133,3.0641697881514524e-06,0.015552885909164491,6.0314127163741545e-05,1.4813263777643442,True
0.5,1.05,24.0,0.7,fixed,,25-26,177,0,0,0.0,0.00011497487317111536,0.005553556463885001,2.7702871078237005e-06,0.01407176853532243,5.058010631423861e-05,0.5761030503669701,True
0.5,1.05,24.0,0.7,fixed,,lensed_18-20,0,0,0,,,,,,,,False
0.5,1.05,24.0,0.7,fixed,,lensed_20-22,122,0,0,0.0,0.0001666973131789048,0.008042004995736962,4.016626137950732e-06,0.020337815909793343,0.000997508980383132,4.038893701600247,True
0.5,1.05,24.0,0.7,fixed,,lensed_22-24,324,0,0,0.0,6.285224929456127e-05,0.003039665539271758,1.5143686685801074e-06,0.00771699695163325,5.4990306957671006e-05,1.3047386684719426,True
0.5,1.05,24.0,0.7,fixed,,lensed_24-27,54,0,0,0.0,0.0003756026073342951,0.018030776585862295,9.05119117203745e-06,0.045246210378820526,3.641307081203411e-05,0.3627398181016798,True
0.5,1.05,24.0,0.8058655117092153,FPR=1.0e-03,0.001,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,0.00028295852176975477,1.8701366207152605,True
0.5,1.05,24.0,0.8058655117092153,FPR=1.0e-03,0.001,23-24,163,0,0,0.0,0.00012483425495337177,0.006028378483565797,3.007860607306352e-06,0.015269269991111424,0.0007538424645463711,3.656968404910316,True
